WORDBLOCKNUMBER	WORDTEXT	WORDTYPE	WORDROLE
813	fluorescent treponemal antibody	4	0
813	FTA	3	0
815	POEMS	3	0
815	polyneuropathy, organomegaly, endocrinopathy, M protein, and skin changes	4	0
816	POEMS	3	0
816	polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes	4	0
819	NAP	3	0
819	nerve action potential	4	0
820	NAP	3	0
820	neutrophil alkaline phosphatase	4	0
826	simple partial seizures	4	0
826	SPS	3	0
827	simple partial seizure	4	0
827	SPS	3	0
829	sodium polyanethol sulfonate	4	0
829	SPS	3	0
836	SPS	3	0
836	systemic progressive sclerosis	4	0
839	base-in	0	4
839	BI	3	4
842	acid mucopolysaccharide	4	0
842	AMP	3	0
851	peak inspiratory flow	4	0
851	PIF	3	0
855	PIF	3	0
855	prolactin inhibiting factor	4	0
859	thyroid stimulating immunoglobulin	4	0
859	TSI	3	0
862	alveolar duct	4	0
862	AV	3	0
864	aortic valve	4	2
864	AV	3	2
865	assisted ventilation	4	0
865	AV	3	0
867	anterior ventral	4	0
867	AV	3	0
876	Alzheimer-type dementia	4	0
876	ATD	3	0
879	antithyroid drug	4	0
879	ATD	3	0
891	BADS	3	0
891	black locks, albinism, deafness syndrome	4	0
899	ApoA	3	0
899	apolipoprotein A	4	0
900	BLV	3	0
900	bovine leukemia virus	4	0
902	painful shoulder syndrome	4	0
902	PSS	3	0
904	porcine stress syndrome	4	0
904	PSS	3	0
905	primary Sjogren syndrome	4	0
905	PSS	3	0
908	thiamine pyrophosphatase	4	0
908	TPPase	3	0
910	testicular feminization male	4	0
910	TFM	3	0
914	pepsinogen A	4	0
914	PGA	3	0
916	PGA	3	0
916	prostaglandin A	4	0
917	ADPKD	3	0
917	autosomal dominant polycystic kidney disease	4	0
921	beats per minute	4	0
921	BPM	3	0
923	BPM	3	0
923	breaths per minute	4	0
928	CCE	3	0
928	chamois contagious ecthyma	4	0
944	HBIG	3	0
944	hepatitis B immunoglobulin	4	0
1009	one-half	0	4
1009	sem	3	4
1013	PCNA	3	0
1013	proliferating cell nuclear antigen	4	0
1016	malignant teratoma, trophoblastic	4	0
1016	MTT	3	0
1018	FG	3	0
1018	Flemish giant [rabbit]	4	0
1023	obstetric complication	4	0
1023	OC	3	0
1025	OC	3	0
1025	oxygen consumed	4	0
1028	bd	3	0
1028	twice a day	4	0
1029	temperature and pressure	4	0
1029	TP	3	0
1031	terminal phalanx	4	0
1031	TP	3	0
1034	total protein	4	0
1034	TP	3	0
1036	TP	3	0
1036	trigger point	4	0
1037	TP	3	0
1037	true positive	4	0
1040	GBM	3	0
1040	glomerular basement membrane	4	0
1057	status uncertain	4	0
1057	SU	3	0
1058	real time scan	4	0
1058	RTS	3	0
1063	temperature, pulse, and respiration	4	0
1063	TPR	3	0
1064	SGA	3	0
1064	small for gestational age	4	0
1070	BD	3	0
1070	Briquet disorder	4	0
1071	barbiturate dependence	4	0
1071	BD	3	0
1072	base deficit	4	0
1072	BD	3	0
1074	BD	3	0
1074	black death	4	0
1075	BD	3	0
1075	block design	4	0
1076	BD	3	0
1076	blue diaper	4	0
1081	MH	3	0
1081	moist heat	4	0
1083	GF	3	1
1083	gluten-free	0	1
1091	TBA	3	0
1091	total bile acids	4	0
1101	TfR	3	0
1101	transferrin receptor	4	0
1104	activity of daily living	4	0
1104	ADL	3	0
1112	MAV	3	0
1112	mouse adenovirus	4	0
1115	versus	0	0
1115	vs	3	0
1119	medial geniculate nucleus	4	0
1119	MGN	3	0
1120	Alzheimer senile dementia	4	0
1120	ASD	3	0
1124	arthroscopic subacromial decompression	4	0
1124	ASD	3	0
1129	PML	3	0
1129	posterior mitral leaflet	4	0
1135	maple syrup urine	4	0
1135	MSU	3	0
1138	2-methyl-4-chlorophenoxyacetic acid	4	0
1138	MCPA	3	0
1147	cellular immunodeficiency	4	0
1147	CID	3	0
1151	parasternal line	4	0
1151	PSL	3	0
1169	TNS	3	0
1169	transcutaneous nerve stimulation	4	0
1173	TPT	3	4
1173	typhoid-paratyphoid	0	4
1175	time to peak	4	0
1175	TTP	3	0
1210	pseudosarcomatous fasciitis	4	0
1210	PSF	3	0
1216	MF	3	4
1216	microfibril	0	4
1217	MF	3	4
1217	microfilament	0	4
1221	MF	3	0
1221	mitochondrial fragments	4	0
1222	MF	3	0
1222	mitogenic factor	4	0
1228	MF	3	0
1228	mycosis fungoides	4	0
1229	MF	3	0
1229	myelin figure	4	0
1230	MF	3	4
1230	myelofibrosis	0	4
1232	PDQ	3	0
1232	Personality Diagnostic Questionnaire	4	0
1235	acute cardiovascular disease	4	0
1235	ACV	3	0
1236	ACV	3	0
1236	airway closing volume	4	0
1237	ACV	3	0
1237	atrial/carotid/ventricular	0	0
1238	TGV	3	0
1238	thoracic gas volume	4	0
1239	regional lung volume	4	0
1239	RLV	3	0
1240	regional vital capacity	4	0
1240	RVC	3	0
1241	regional tidal volume	4	0
1241	RTV	3	0
1242	mean maximum expiratory flow	4	0
1242	MMEF	3	0
1244	mean mid-expiratory flow rate	4	0
1244	MMFR	3	0
1245	BAO	3	0
1245	basal acid output	4	0
1247	PAO	3	0
1247	peak gastric acid output	4	0
1252	LAH	3	0
1252	left atrial hypertrophy	4	0
1259	catechol methyltransferase	4	0
1259	CMT	3	0
1265	EOM	3	0
1265	extraocular movement	4	0
1270	GlnRS	3	0
1270	glutaminyl-tRNA synthetase	4	0
1271	maximum inspiratory pressure	4	0
1271	MIP	3	0
1274	minimal inspiratory pressure	4	0
1274	MIP	3	0
1275	middle interphalangeal	4	0
1275	MIP	3	0
1304	shr	3	0
1304	spontaneously hypertensive rat	4	0
1321	recA	3	0
1321	recombination A	4	0
1326	past history	4	0
1326	Px	3	0
1334	visceral leishmaniasis	4	0
1334	VL	3	0
1339	TD	3	0
1339	tetanus and diphtheria toxoid	4	0
1344	PCC	3	0
1344	pneumatosis pneumatosis	4	0
1352	double-stranded deoxyribonucleic acid	4	0
1352	dsDNA	3	0
1355	right leg	4	0
1355	RL	3	0
1356	right lateral	4	0
1356	RL	3	0
1366	normal reaction	4	0
1366	NR	3	0
1367	dtmax	3	0
1367	maximum diastolic pressure	4	0
1374	q terminal	4	0
1374	qter	3	0
1375	p terminal	4	0
1375	pter	3	0
1382	BG	3	0
1382	brilliant green	4	0
1385	RARS	3	0
1385	refractory anemia with ring sideroblasts	4	0
1386	vulva and vagina	4	0
1386	VV	3	0
1395	Kayser-Fleischer	0	4
1395	KF	3	4
1396	KF	3	4
1396	Klippel-Feil	0	4
1406	new name	4	0
1406	nn	3	0
1420	BH	3	0
1420	board of health	4	0
1424	levator veli palatini	4	0
1424	LVP	3	0
1428	RAEB	3	0
1428	refractory anemia with excess blasts	4	0
1442	decayed-missing-filled permanent teeth	4	0
1442	DMFT	3	0
1446	certified	0	1
1446	CRT	3	1
1447	corrected	0	1
1447	CRT	3	1
1461	ACD	3	0
1461	actinomycin D	4	0
1463	ACD	3	0
1463	adult celiac disease	4	0
1465	ACD	3	0
1465	allergic contact dermatitis	4	0
1468	ACD	3	0
1468	angiokeratoma corporis diffusum	4	0
1477	handicapped	0	1
1477	HC	3	1
1478	DH	3	0
1478	diffuse histiocytic	4	0
1498	2,4-dinitrophenylhydrazine	0	4
1498	DNPH	3	4
1499	Disability Status Scale	4	0
1499	DSS	3	0
1506	dry weight	4	0
1506	DW	3	0
1515	3-Hydroxy-3-methylglutaryl coenzyme A	4	0
1515	HMG-CoA	3	0
1537	AA	3	0
1537	Alcoholics Anonymous	4	0
1594	AHA	3	0
1594	American Heart Association	4	0
1678	Bacillus Calmette-Guerin	4	0
1678	BCG	3	0
1681	BDI	3	0
1681	Beck Depression Inventory	4	0
1686	BDA	3	0
1686	British Dental Association	4	0
1688	BMA	3	0
1688	British Medical Association	4	0
1697	British thermal unit	4	0
1697	BTU	3	0
1699	BN	3	0
1699	Brown Norway	4	0
1700	BCS	3	0
1700	Budd-Chiari syndrome	4	0
1716	Charcot-Marie-Tooth disease	4	0
1716	CMTD	3	0
1728	CJD	3	0
1728	Creutzfeldt Jakob Disease	4	0
1730	CCEI	3	0
1730	Crown-Crisp Experiential Index	4	0
1733	Daunorubicin	0	4
1733	DRB	3	4
1762	Eating Disorder Instrument	4	0
1762	EDI	3	0
1763	Eating Disorder Inventory	4	0
1763	EDI	3	0
1766	Emergency Medical Service	4	0
1766	EMS	3	0
1767	EC	3	0
1767	Enzyme Commission	4	0
1768	EBNA	3	0
1768	Epstein-Barr nuclear antigen	4	0
1769	EBV	3	0
1769	Epstein-Barr virus	4	0
1770	EBNA1	3	0
1770	Epstein-Barr virus nuclear antigen 1	4	0
1775	Father	0	4
1775	Fr	3	4
1804	GA	3	0
1804	Golgi apparatus	4	0
1810	GBS	3	0
1810	Guillain-Barre syndrome	4	0
1813	Hashimoto thyroiditis	4	0
1813	HT	3	0
1815	Henoch-Schonlein	0	4
1815	HS	3	4
1818	HC	3	0
1818	Huntington Chorea	4	0
1819	IMA	3	0
1819	Industrial Medical Association	4	0
1882	MD	3	0
1882	Medical Doctor	4	0
1884	Medical Officer	4	0
1884	MO	3	0
1888	Medical Record Administrator	4	0
1888	MRA	3	0
1901	Military Police	4	0
1901	MP	3	0
1902	MD	3	0
1902	Minamata disease	4	0
1904	MAI	3	0
1904	Mycobacterium avium-intracellulare	4	0
1922	National Health Service	4	0
1922	NHS	3	0
1944	National Student Nurse Association	4	0
1944	NSNA	3	0
1948	NDV	3	0
1948	Newcastle disease virus	4	0
1950	New Jersey	4	0
1950	NJ	3	0
1952	New York	4	0
1952	NY	3	0
1953	New Zealand black	4	0
1953	NZB	3	0
1954	New Zealand white	4	0
1954	NZW	3	0
1967	PCP	3	0
1967	Pneumocystis carinii pneumonia	4	0
1969	Prader-Willi syndrome	4	0
1969	PWS	3	0
1973	PA	3	0
1973	Pseudomonas aeruginosa	4	0
1974	PHLS	3	0
1974	Public Health Laboratory Service	4	0
1984	Registered General Nurse	4	0
1984	RGN	3	0
1985	Registered Mental Nurse	4	0
1985	RMN	3	0
1990	Rous sarcoma virus	4	0
1990	RSV	3	0
1991	RAMC	3	0
1991	Royal Army Medical Corps	4	0
2002	Semliki Forest virus	4	0
2002	SFV	3	0
2006	Sf	3	0
2006	Streptococcus faecalis	4	0
2010	S	3	0
2010	S antigen	4	0
2011	Tay-Sachs disease	4	0
2011	TSD	3	0
2016	UK	3	0
2016	United Kingdom	4	0
2017	United States	4	0
2017	US	3	0
2023	Vicia villosa	4	0
2023	VVA	3	0
2025	Wassermann reaction	4	0
2025	WR	3	0
2026	WAIS	3	0
2026	Wechsler Adult Intelligence Scale	4	0
2028	WF	3	0
2028	Wistar Furth rat	4	0
2029	XR	3	4
2029	X-ray	0	4
2031	AAA	3	0
2031	abdominal aortic aneurysm	4	0
2039	A/C	3	4
2039	account	0	4
2040	acetate kinase	4	0
2040	AK	3	0
2041	acetylcholine	0	4
2041	ACh	3	4
2042	acetylcholinesterase	0	4
2042	AChE	3	4
2043	acetylsalicylic acid	4	0
2043	ASA	3	0
2046	acquired hemolytic anemia	4	0
2046	AHA	3	0
2047	acquired immune deficiency syndrome	4	0
2047	AIDS	3	0
2048	acridine orange	4	0
2048	AO	3	0
2050	action potential	4	0
2050	AP	3	0
2053	acute interstitial nephritis	4	0
2053	AIN	3	0
2054	acute lateral sclerosis	4	0
2054	ALS	3	0
2055	acute lymphoblastic leukemia	4	0
2055	ALL	3	0
2057	acute myelogenous leukemia	4	0
2057	AML	3	0
2058	acute phase reactant	4	0
2058	APR	3	0
2059	acute renal failure	4	0
2059	ARF	3	0
2060	acute respiratory disease	4	0
2060	ARD	3	0
2061	ACV	3	4
2061	acyclovir	0	4
2063	adenine phosphoribosyltransferase	4	0
2063	APRT	3	0
2063	APRTase	3	0
2064	ADA	3	0
2064	adenosine deaminase	4	0
2065	adenosine diphosphate	4	0
2065	ADP	3	0
2066	adenosine kinase	4	0
2066	ADK	3	0
2067	adenosine triphosphate	4	0
2067	ATP	3	0
2068	AdC	3	0
2068	adenylate cyclase	4	0
2070	adenylate kinase	4	0
2070	AdK	3	0
2070	AK	3	0
2076	AdC	3	0
2076	adrenal cortex	4	0
2079	ACTH	3	0
2079	adrenocorticotropic hormone	4	0
2079	IR-ACTH	3	0
2080	adrenogenital syndrome	4	0
2080	AGS	3	0
2081	adult T-cell leukemia	4	0
2081	ATL	3	0
2082	adult t-cell leukemia/lymphoma	4	0
2082	ATLL	3	0
2083	adult T-cell lymphoma	4	0
2083	ATL	3	0
2084	advanced life support	4	0
2084	ALS	3	0
2086	afferent loop syndrome	4	0
2086	ALS	3	0
2089	AB	3	0
2089	aid to blind	4	0
2090	airway	0	4
2090	aw	3	4
2091	AC	3	0
2091	air conditioner	4	0
2092	AC	3	0
2092	air conditioning	4	0
2093	AC	3	0
2093	air conduction	4	0
2095	alanine aminotransferase	4	0
2095	ALAT	3	0
2099	alimentary toxic aleukia	4	0
2099	ATA	3	0
2103	alkaline phosphatase	4	0
2103	ALP	3	0
2103	AP	3	0
2103	APH	3	0
2104	ABA	3	0
2104	allergic bronchopulmonary aspergillosis	4	0
2106	alpha subunit glycoprotein hormone	4	0
2106	ASGPH	3	0
2109	AC	3	0
2109	alternating current	4	0
2113	ACC	3	0
2113	alveolar cell carcinoma	4	0
2115	alveolar macrophage	4	0
2115	AM	3	0
2118	ALA	3	0
2118	aminolevulinic acid	4	0
2123	ammonium chloride	4	0
2123	NH4Cl	3	0
2136	angina pectoris	4	0
2136	AP	3	0
2138	ACE	3	0
2138	angiotensin converting enzyme	4	0
2141	ankylosing spondylitis	4	0
2141	ASP	3	0
2142	AC	3	0
2142	anodal closure	4	0
2146	ACL	3	0
2146	anterior cruciate ligament	4	0
2148	anterior pituitary	4	0
2148	AP	3	0
2149	anterior uveitis	4	0
2149	AU	3	0
2151	anteroposterior	0	1
2151	AP	3	1
2152	ac	3	0
2152	ante cibum	4	0
2154	ABO	3	4
2154	antibody	0	4
2155	ADCC	3	0
2155	antibody-dependent cellular cytotoxicity	4	0
2158	adh	3	0
2158	antidiuretic hormone	4	0
2160	Ag	3	4
2160	antigen	0	4
2161	AGT	3	0
2161	antiglobulin test	4	0
2162	AHF	3	0
2162	antihemophilic factor	4	0
2164	ALS	3	0
2164	antilymphocyte serum	4	0
2167	ANA	3	0
2167	antinuclear antibody	4	0
2168	ANF	3	0
2168	antinuclear factor	4	0
2170	antisocial personality	4	0
2170	ASP	3	0
2171	antistreptolysin	0	4
2171	ASL	3	4
2172	antithymocyte globulin	4	0
2172	ATG	3	0
2175	AC	3	0
2175	aortic closure	4	0
2176	AI	3	0
2176	aortic incompetence	4	0
2177	AI	3	0
2177	aortic insufficiency	4	0
2178	aortic pressure	4	0
2178	AP	3	0
2180	AI	3	0
2180	apical impulse	4	0
2182	apo-A-I	3	0
2182	apolipoprotein A-I	4	0
2183	ApoB	3	0
2183	apolipoprotein B	4	0
2185	ApoC	3	0
2185	apolipoprotein C	4	0
2186	apoC-I	3	0
2186	apolipoprotein C-I	4	0
2187	ApoE	3	0
2187	apolipoprotein E	4	0
2188	apoE3	3	0
2188	apolipoprotein E-III	4	0
2198	arginine vasopressin	4	0
2198	AVP	3	0
2200	argininosuccinate lyase	4	0
2200	ASAL	3	0
2200	ASL	3	0
2201	argininosuccinic acid	4	0
2201	ASA	3	0
2203	AP	3	0
2203	arterial pressure	4	0
2204	arteriosclerosis obliterans	4	0
2204	ASO	3	0
2205	arteriosclerotic cardiovascular disease	4	0
2205	ASCVD	3	0
2206	arteriosclerotic nephritis	4	0
2206	ASN	3	0
2207	arteriovenous	0	1
2207	A-V	3	1
2208	arteriovenous malformation	4	0
2208	AVM	3	0
2209	AEP	3	0
2209	artificial endocrine pancreas	4	0
2211	AI	3	0
2211	artificial insemination	4	0
2213	AK	3	0
2213	artificial kidney	4	0
2217	Asn	3	4
2217	asparagine	0	4
2218	aspartate aminotransferase	4	0
2218	AST	3	0
2220	Asp	3	0
2220	aspartic acid	4	0
2230	anp	3	0
2230	atrial natriuretic peptide	4	0
2231	atrioventricular	0	1
2231	A-V	3	1
2233	attachment L	4	0
2233	attL	3	0
2234	attachment P	4	0
2234	attP	3	0
2235	attachment R	4	0
2235	attR	3	0
2236	audiovisual	0	4
2236	A-V	3	4
2237	af	3	0
2237	audio frequency	4	0
2242	AHA	3	0
2242	autoimmune hemolytic anemia	4	0
2243	ANS	3	0
2243	autonomic nervous system	4	0
2250	azidothymidine	0	4
2250	AZT	3	4
2253	ballistocardiogram	0	4
2253	BCG	3	4
2254	band	0	4
2254	bd	3	4
2258	basal ganglion	4	0
2258	BG	3	0
2259	basal metabolic rate	4	0
2259	bmr	3	0
2263	basilar impression	4	0
2263	BI	3	0
2265	battered child syndrome	4	0
2265	BCS	3	0
2266	BDP	3	0
2266	beclomethasone dipropionate	4	0
2267	bedtime	0	4
2267	BT	3	4
2271	BD	3	4
2271	belladonna	0	4
2272	benign prostatic hypertrophy	4	0
2272	BPH	3	0
2275	BDP	3	4
2275	BDZ	3	4
2275	benzodiazepine	0	4
2275	BZD	3	4
2277	BANA	3	4
2277	benzoylarginine-2-naphthylamide	0	4
2280	beta-galactosidase	0	4
2280	BG	3	4
2281	beta-glucuronidase	0	4
2281	BG	3	4
2283	biceps jerk	4	0
2283	bj	3	0
2284	BD	3	0
2284	bile duct	4	0
2286	biological response modifier	4	0
2286	BRM	3	0
2293	biparietal diameter	4	0
2293	BPD	3	0
2295	BH	3	0
2295	birth history	4	0
2297	bitemporal	0	1
2297	BT	3	1
2299	bk	3	0
2299	black	0	0
2300	bf	3	0
2300	blastogenic factor	4	0
2301	bleeding time	4	0
2301	BT	3	0
2302	bleomycin	0	4
2302	BLM	3	4
2304	BD	3	0
2304	blood donor	4	0
2305	BG	3	0
2305	blood glucose	4	0
2306	blood sugar	4	0
2306	BS	3	0
2307	blood type	4	0
2307	BT	3	0
2308	blood typing	4	0
2308	BT	3	0
2309	blood urea nitrogen	4	0
2309	BUN	3	0
2312	blood volume	4	0
2312	BLV	3	0
2312	BV	3	0
2313	BBB	3	0
2313	blood-brain barrier	4	0
2315	blood-pressure	0	4
2315	BP	3	4
2317	BMI	3	0
2317	body mass index	4	0
2318	body temperature	4	0
2318	BT	3	0
2323	BG	3	0
2323	bone graft	4	0
2324	BMC	3	0
2324	bone marrow cell	4	0
2325	BMC	3	0
2325	bone mineral content	4	0
2331	BD	3	4
2331	bound	0	4
2334	bm	3	0
2334	bowel movement	4	0
2335	bowel sounds	4	0
2335	BS	3	0
2337	BD	3	0
2337	brain death	4	0
2338	BCR	3	0
2338	breakpoint cluster region	4	0
2339	BC	3	0
2339	breast cancer	4	0
2341	breast self-examination	4	0
2341	BSE	3	0
2342	breath sounds	4	0
2342	BS	3	0
2345	BA	3	0
